Característica_1,Característica_2,Etiqueta_Real,Valor_Decisión,Predicción_SVM,Clasificación_Correcta
2.996714153011233,2.361735698828815,1.0,2.128173875547021,1.0,True
3.1476885381006925,4.023029856408026,1.0,2.8024922082680948,1.0,True
2.265846625276664,2.2658630430508193,1.0,1.7729996332983953,1.0,True
4.0792128155073915,3.267434729152909,1.0,2.933818941983892,1.0,True
2.030525614065048,3.0425600435859645,1.0,1.9542926898758344,1.0,True
2.0365823071875377,2.034270246429743,1.0,1.5878096429700181,1.0,True
2.741962271566034,0.5867197553422021,1.0,1.3667737418318273,1.0,True
0.7750821674869672,1.9377124707590272,1.0,1.0000000000586475,1.0,True
1.4871688796655762,2.814247332595274,1.0,1.632750303630634,1.0,True
1.5919759244787892,1.0876962986647085,1.0,1.046557986125082,1.0,True
3.965648768921554,2.274223699513464,1.0,2.5204696849208292,1.0,True
2.5675282046879238,1.0752518137865432,1.0,1.4692341897213155,1.0,True
1.9556172754748173,2.6109225897098662,1.0,1.7634646922414199,1.0,True
1.3490064225776972,2.875698018345672,1.0,1.594740744558941,1.0,True
1.899361310081195,2.208306250206723,1.0,1.591429939043342,1.0,True
1.898293387770603,4.352278184508938,1.0,2.3758716825058097,1.0,True
2.486502775262066,1.4422890710440996,1.0,1.5681225781208252,1.0,True
3.322544912103189,1.2791563500289778,1.0,1.8745348303957352,1.0,True
2.7088635950047553,0.5403298761202244,1.0,1.3352951861263154,1.0,True
1.1718139511015695,2.6968612358691235,1.0,1.451669041999202,1.0,True
3.2384665799954107,2.6713682811899706,1.0,2.3474033055417967,1.0,True
2.3843517176117595,2.1988963044107113,1.0,1.8003810404899985,1.0,True
1.0214780096325726,1.7801557916052912,1.0,1.050224688895754,1.0,True
2.0393612290402126,3.5571222262189157,1.0,2.1465436757265346,1.0,True
2.8436182895684614,0.736959844637266,1.0,1.466295838329458,1.0,True
2.824083969394795,2.1149177195836835,1.0,1.9622122181388777,1.0,True
1.8230779996940414,3.1116762888408678,1.0,1.888746842267897,1.0,True
3.530999522495951,3.431280119116199,1.0,2.7537189996451494,1.0,True
1.6607824767773613,2.1907876241487854,1.0,1.4805334455851897,1.0,True
2.831263431403564,3.475545127122359,1.0,2.463482903426859,1.0,True
2.02082576215471,2.314341023336183,1.0,1.6834433231018415,1.0,True
1.3936650259939718,1.3037933759193292,1.0,1.0388232322799915,1.0,True
3.312525822394198,3.8562400285708227,1.0,2.8136189836430305,1.0,True
2.427989878419666,3.503532897892024,1.0,2.2971201313659337,1.0,True
