Característica_1,Característica_2,Etiqueta_Real,Predicción_SVM,Clasificación_Correcta,Votos_Clase_0,Votos_Clase_1,Votos_Clase_2,Votos_Clase_3,Votos_Clase_4
1.4961847113204083,2.9594526891910005,1,4,False,2.0,3.0,0.0,1.0,4.0
-2.111681505368473,10.184940280745153,0,0,True,4.0,1.0,0.0,3.0,2.0
1.315062526531122,5.180974072346139,4,4,True,2.0,3.0,0.0,1.0,4.0
4.9489393050954185,1.8838345850213314,1,1,True,2.0,4.0,0.0,1.0,3.0
-8.630510645614592,7.785903771173308,3,3,True,3.0,1.0,0.0,4.0,2.0
-7.1477825335422915,-6.023309000365436,2,2,True,0.0,1.0,4.0,2.0,3.0
-1.271998196057609,10.131822271137759,0,0,True,4.0,1.0,0.0,3.0,2.0
-3.065298854427705,8.455410423914014,0,0,True,4.0,1.0,0.0,3.0,2.0
0.9099836689704761,4.0900211286467485,4,4,True,2.0,3.0,0.0,1.0,4.0
-8.15325914380421,8.686201683715423,3,3,True,3.0,1.0,0.0,4.0,2.0
4.568887671279335,5.400409868582285,4,4,True,2.0,3.0,0.0,1.0,4.0
4.581940284451695,1.8189461964939069,4,1,False,2.0,4.0,0.0,1.0,3.0
6.011266213646126,2.875489323164861,1,1,True,2.0,4.0,0.0,1.0,3.0
-10.278683445102942,6.922121432489565,3,3,True,3.0,0.0,1.0,4.0,2.0
-5.7235758360580835,-6.384772480952149,2,2,True,0.0,2.0,4.0,2.0,2.0
4.228621416395978,1.0104369608747894,1,1,True,2.0,4.0,0.0,1.0,3.0
-7.693525640444168,8.10519241706566,3,3,True,3.0,1.0,0.0,4.0,2.0
2.9414339457676046,1.468395296622301,1,1,True,2.0,4.0,0.0,1.0,3.0
-5.489312496342385,-7.864928375297999,2,2,True,0.0,3.0,4.0,1.0,2.0
-7.982936272231834,-5.0201883072549,2,2,True,0.0,1.0,4.0,2.0,3.0
-3.8903899159595134,9.465123750213127,0,0,True,4.0,1.0,0.0,3.0,2.0
1.4942468508277953,4.318340248664218,4,4,True,2.0,3.0,0.0,1.0,4.0
-9.854480218318097,5.505706245875666,3,3,True,3.0,0.0,1.0,4.0,2.0
-9.632471514358077,8.346442917254173,3,3,True,3.0,1.0,0.0,4.0,2.0
-6.311742041663017,-6.967504288464194,2,2,True,0.0,2.0,4.0,2.0,2.0
-8.408982924218071,7.996464347140584,3,3,True,3.0,1.0,0.0,4.0,2.0
-9.408262130029158,6.539527836410249,3,3,True,3.0,0.0,1.0,4.0,2.0
-2.120296859778996,8.552187391698741,0,0,True,4.0,1.0,0.0,3.0,2.0
-6.26559484944562,8.084225742280317,3,3,True,3.0,1.0,0.0,4.0,2.0
4.59822471258181,0.5707560387972936,1,1,True,2.0,4.0,0.0,1.0,3.0
-7.695656857045459,-6.601405156682742,2,2,True,0.0,1.0,4.0,2.0,3.0
-2.2585613090470438,6.662681979542591,0,0,True,4.0,1.0,0.0,2.0,3.0
-6.0607374766278,5.082804684388606,3,3,True,3.0,1.0,0.0,4.0,2.0
-8.232343021859462,8.362429148502848,3,3,True,3.0,1.0,0.0,4.0,2.0
3.4512352460712754,1.2936124084174057,1,1,True,2.0,4.0,0.0,1.0,3.0
-8.808607072624742,-6.658548963037181,2,2,True,0.0,1.0,4.0,2.0,3.0
-9.216650850204426,8.234285980090624,3,3,True,3.0,1.0,0.0,4.0,2.0
-8.220270533068753,11.946800704284367,3,3,True,3.0,1.0,0.0,4.0,2.0
1.7192184531923833,2.66411173756309,4,4,True,2.0,3.0,0.0,1.0,4.0
-3.2299640509553162,8.664253628446389,0,0,True,4.0,1.0,0.0,3.0,2.0
3.7974151235752784,1.5799751080234101,1,1,True,2.0,4.0,0.0,1.0,3.0
-11.268498860625138,7.547268093222017,3,3,True,3.0,0.0,1.0,4.0,2.0
-2.0968556755705965,6.898637941763041,0,0,True,4.0,1.0,0.0,2.0,3.0
5.073553562838198,3.818813563699895,1,1,True,2.0,4.0,0.0,1.0,3.0
2.1585210491656732,4.956008365346165,4,4,True,2.0,3.0,0.0,1.0,4.0
4.169349052469512,0.2169517461821897,1,1,True,2.0,4.0,0.0,1.0,3.0
-3.598826513678203,7.319521686595972,0,0,True,4.0,1.0,0.0,3.0,2.0
-7.947044506701898,-7.859081935234473,2,2,True,0.0,1.0,4.0,2.0,3.0
4.596887589296159,3.8507420709175393,1,1,True,2.0,4.0,0.0,1.0,3.0
4.140845323201492,4.647429609074056,4,4,True,2.0,3.0,0.0,1.0,4.0
4.446335982228891,2.458030712118178,1,1,True,2.0,4.0,0.0,1.0,3.0
5.344107348788426,4.601716434912706,1,1,True,2.0,4.0,0.0,1.0,3.0
-5.893154999157882,-4.60395801409121,2,2,True,0.0,1.0,4.0,2.0,3.0
-2.2188428971735092,6.718349834608964,0,0,True,4.0,1.0,0.0,2.0,3.0
-3.072566886174693,9.66535818050148,0,0,True,4.0,1.0,0.0,3.0,2.0
-6.606675269626315,-5.311538288137033,2,2,True,0.0,1.0,4.0,2.0,3.0
4.004166591707655,2.5890906036767594,1,1,True,2.0,4.0,0.0,1.0,3.0
-7.174092930354715,-7.784592990504934,2,2,True,0.0,2.0,4.0,2.0,2.0
-8.154391647622596,-6.311798676513729,2,2,True,0.0,1.0,4.0,2.0,3.0
-3.061964148204495,10.282832799661021,0,0,True,4.0,1.0,0.0,3.0,2.0
-8.76847729450081,5.951958558101955,3,3,True,3.0,0.0,1.0,4.0,2.0
1.8401581208214757,4.867432203702401,4,4,True,2.0,3.0,0.0,1.0,4.0
3.751828181743514,2.4384169745055817,4,1,False,2.0,4.0,0.0,1.0,3.0
-8.164698188824605,-6.301142694984124,2,2,True,0.0,1.0,4.0,2.0,3.0
-9.374145699116436,8.35120146868687,3,3,True,3.0,1.0,0.0,4.0,2.0
-8.049245195424056,-5.935608068785005,2,2,True,0.0,1.0,4.0,2.0,3.0
0.1990562757193597,3.5803706684814074,4,4,True,2.0,3.0,0.0,1.0,4.0
-6.579035770736218,-6.464371741879575,2,2,True,0.0,1.0,4.0,2.0,3.0
-8.014815528186594,5.388263870071121,3,3,True,3.0,0.0,1.0,4.0,2.0
4.409045678490754,2.335026494741067,1,1,True,2.0,4.0,0.0,1.0,3.0
-6.7600455530461,-7.484280378215385,2,2,True,0.0,2.0,4.0,2.0,2.0
2.1060627368521985,3.6990752396867967,4,4,True,2.0,3.0,0.0,1.0,4.0
5.073842066285263,1.199025978414583,1,1,True,2.0,4.0,0.0,1.0,3.0
-8.363968044204968,-8.464657528977078,2,2,True,0.0,1.0,4.0,2.0,3.0
4.7499917680707044,-0.41191301358033927,1,1,True,2.0,4.0,0.0,1.0,3.0
-4.579099022068389,8.339541093109155,0,0,True,4.0,1.0,0.0,3.0,2.0
4.995223168705593,2.2864360105565993,1,1,True,2.0,4.0,0.0,1.0,3.0
-6.253297312410993,-6.523727985396123,2,2,True,0.0,1.0,4.0,2.0,3.0
-9.420764014030935,7.4217718827622905,3,3,True,3.0,0.0,1.0,4.0,2.0
-7.819531141954754,-7.266583412722757,2,2,True,0.0,1.0,4.0,2.0,3.0
